EDRPOU_CODE,SECTION_CODE,SECTION_NAME,CHAPTER_CODE,CHAPTER_NAME,GROUP_CODE,GROUP_NAME,CLASS_CODE,CLASS_NAME,"Повне найменування юридичної особи
(cтаном на 06.10.2025)",Скорочена назва,"Статус юридичної особи 
(cтаном на 06.10.2025)",Статус з ЄДР,Код ЄДРПОУ,Дата реєстрації,Уповноважені особи,Розмір статутного капіталу,Організаційно-правова форма,Види діяльності,Контактна інформація,"Відомості про строк, визначений засновниками (учасниками) юридичної особи, судом або органом, що прийняв рішення про припинення юридичної особи, для заявлення кредиторами своїх вимог","Дата та номер запису про державну реєстрацію припинення юридичної особи, підстава для його внесення",KVED_PRIMARY_CODE,KVED_PRIMARY_NAME,CONTACT_ADDRESS
22215409,A,"СІЛЬСЬКЕ ГОСПОДАРСТВО, ЛІСОВЕ ГОСПОДАРСТВО ТА РИБНЕ ГОСПОДАРСТВО",1,"Сільське господарство, мисливство та надання пов'язаних із ними послуг",1.1,ВИРОЩУВАННЯ ОДНОРІЧНИХ І ДВОРІЧНИХ КУЛЬТУР,1.11,"Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",ФЕРМЕРСЬКЕ ГОСПОДАРСТВО АЛІ-92,"ФГ ""АЛІ-92""",Зареєстровано,Зареєстровано,22215409,05.05.1992 (33 роки 5 місяців),"ІВАХНЮК ЛЮБОВ ТАРАСІВНА 25.05.2004, керівник ІВАХНЮК ЛЮБОВ ТАРАСІВНА 25.05.2004, підписант (Відомості відсутні)","3,00 грн.",ФЕРМЕРСЬКЕ ГОСПОДАРСТВО,"Основний: 01.11 Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур Всього за цим КВЕД: 75 088 За цим видом діяльності в Україні діючих: 59 625 – юридичних осіб 15 463 – ФОП Інші: 46.21 Оптова торгівля зерном, необробленим тютюном, насінням і кормами для тварин 47.89 Роздрібна торгівля з лотків і на ринках іншими товарами","Місцезнаходження юридичної особи: Україна, **0, Кіровоградська обл., Олександрійський р-н, селище міського типу Приютівка, ПРОСПЕКТ КОМСОМОЛУ, будинок **, квартира ** Телефон: +30955521281 Дата оновлення 17.06.2025 В цей день ми додатково зробили перевірку, та отримали такі дані. Повні та актуальні дані на сьогодні, доступні в бізнес пакетах або в добовій ліцензії. Пройдіть бізнес реєстрацію або придбайте добову ліцензію.",,,,,
22215528,A,"СІЛЬСЬКЕ ГОСПОДАРСТВО, ЛІСОВЕ ГОСПОДАРСТВО ТА РИБНЕ ГОСПОДАРСТВО",1,"Сільське господарство, мисливство та надання пов'язаних із ними послуг",1.1,ВИРОЩУВАННЯ ОДНОРІЧНИХ І ДВОРІЧНИХ КУЛЬТУР,1.11,"Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",ФЕРМЕРСЬКЕ ГОСПОДАРСТВО НАДІЯ,,Припинено,Припинено,22215528,28.02.1992 (33 роки 7 місяців),ПІЦЕНКО МИХАЙЛО ЯКОВИЧ керівник ПІЦЕНКО МИХАЙЛО ЯКОВИЧ підписант (Відомості відсутні),"1 000,00 грн.",ФЕРМЕРСЬКЕ ГОСПОДАРСТВО,"Основний: 01.11 Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур Всього за цим КВЕД: 75 088 За цим видом діяльності в Україні діючих: 59 625 – юридичних осіб 15 463 – ФОП","Місцезнаходження юридичної особи: Україна, **1, Кіровоградська обл., Олександрійський р-н, село Войнівка, ВУЛИЦЯ ДЗЕРЖИНСЬКОГО, будинок **",09.08.2015,Дата запису: 18.09.2015 Номер запису: 1 445 111 0010 002326 Стан суб'єкта: ДР припинення ЮО в результаті ліквідації,,,
22215540,A,"СІЛЬСЬКЕ ГОСПОДАРСТВО, ЛІСОВЕ ГОСПОДАРСТВО ТА РИБНЕ ГОСПОДАРСТВО",1,"Сільське господарство, мисливство та надання пов'язаних із ними послуг",1.1,ВИРОЩУВАННЯ ОДНОРІЧНИХ І ДВОРІЧНИХ КУЛЬТУР,1.11,"Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",ФЕРМЕРСЬКЕ ГОСПОДАРСТВО НАТАЛКА,"ФГ ""НАТАЛКА""",Припинено,Припинено,22215540,01.06.1993 (32 роки 4 місяці),ОБЕРЕМКО РОМАН АНАТОЛІЙОВИЧ керівник ОБЕРЕМКО РОМАН АНАТОЛІЙОВИЧ голова комісії з припинення або ліквідатор,"4 000 000,00 грн.",ФЕРМЕРСЬКЕ ГОСПОДАРСТВО,"Основний: 01.11 Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур Всього за цим КВЕД: 75 088 За цим видом діяльності в Україні діючих: 59 625 – юридичних осіб 15 463 – ФОП Інші: 01.45 Розведення овець і кіз 01.46 Розведення свиней 46.21 Оптова торгівля зерном, необробленим тютюном, насінням і кормами для тварин 46.90 Неспеціалізована оптова торгівля Всі Види Діяльності Приховати","Місцезнаходження юридичної особи: Україна, **6, Кіровоградська обл., Олександрійський р-н, село Морозівка, ВУЛИЦЯ ПОПОВА, будинок ** E-mail: *******.***@******.**** Дата оновлення 12.09.2025 В цей день ми додатково зробили перевірку, та отримали такі дані. Повні та актуальні дані на сьогодні, доступні в бізнес пакетах або в добовій ліцензії. Пройдіть бізнес реєстрацію або придбайте добову ліцензію. Телефон: +380663874983 Дата оновлення 12.09.2025 В цей день ми додатково зробили перевірку, та отримали такі дані. Повні та актуальні дані на сьогодні, доступні в бізнес пакетах або в добовій ліцензії. Пройдіть бізнес реєстрацію або придбайте добову ліцензію.",,Дата запису: 11.04.2023 Номер запису: 1 004 451 1700 32002012 Стан суб'єкта: ДР припинення ЮО у зв'язку з визнанням її банкрутом,,,
22215563,A,"СІЛЬСЬКЕ ГОСПОДАРСТВО, ЛІСОВЕ ГОСПОДАРСТВО ТА РИБНЕ ГОСПОДАРСТВО",1,"Сільське господарство, мисливство та надання пов'язаних із ними послуг",1.1,ВИРОЩУВАННЯ ОДНОРІЧНИХ І ДВОРІЧНИХ КУЛЬТУР,1.11,"Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",ФЕРМЕРСЬКЕ ГОСПОДАРСТВО СИДОРОВО,"ФГ ""СИДОРОВО""",Зареєстровано,Зареєстровано,22215563,01.08.1994 (31 рік 2 місяці),СІДОРОВ МИКОЛА ТИМОФІЙОВИЧ керівник СІДОРОВ МИКОЛА ТИМОФІЙОВИЧ підписант (Відомості відсутні),"1 000,00 грн.",ФЕРМЕРСЬКЕ ГОСПОДАРСТВО,"Основний: 01.11 Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур Всього за цим КВЕД: 75 088 За цим видом діяльності в Україні діючих: 59 625 – юридичних осіб 15 463 – ФОП Інші: 01.13 Вирощування овочів і баштанних культур, коренеплодів і бульбоплодів 01.25 Вирощування ягід, горіхів, інших плодових дерев і чагарників 01.41 Розведення великої рогатої худоби молочних порід","Місцезнаходження юридичної особи: Україна, **4, Кіровоградська обл., Олександрійський р-н, село Протопопівка, ВУЛИЦЯ НАГОРНА, будинок ** Телефон: +30523533340 Дата оновлення 25.09.2025 В цей день ми додатково зробили перевірку, та отримали такі дані. Повні та актуальні дані на сьогодні, доступні в бізнес пакетах або в добовій ліцензії. Пройдіть бізнес реєстрацію або придбайте добову ліцензію.",,,,,
22216166,A,"СІЛЬСЬКЕ ГОСПОДАРСТВО, ЛІСОВЕ ГОСПОДАРСТВО ТА РИБНЕ ГОСПОДАРСТВО",1,"Сільське господарство, мисливство та надання пов'язаних із ними послуг",1.1,ВИРОЩУВАННЯ ОДНОРІЧНИХ І ДВОРІЧНИХ КУЛЬТУР,1.11,"Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",ФЕРМЕРСЬКЕ ГОСПОДАРСТВО ДЖЕРЕЛО-2,"ФГ ""ДЖЕРЕЛО-2""",Зареєстровано,Зареєстровано,22216166,27.03.1995 (30 років 6 місяців),Баранець Костянтин Сергійович керівник,"19 232,00 грн.",ФЕРМЕРСЬКЕ ГОСПОДАРСТВО,"Основний: 01.11 Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур Всього за цим КВЕД: 75 088 За цим видом діяльності в Україні діючих: 59 625 – юридичних осіб 15 463 – ФОП Інші: 01.46 Розведення свиней 01.61 Допоміжна діяльність у рослинництві 01.63 Післяурожайна діяльність 02.20 Лісозаготівлі 03.22 Прісноводне рибництво (аквакультура) 10.41 Виробництво олії та тваринних жирів 10.61 Виробництво продуктів борошномельно-круп'яної промисловості 10.91 Виробництво готових кормів для тварин, що утримуються на фермах 49.41 Вантажний автомобільний транспорт 52.10 Складське господарство 68.20 Надання в оренду й експлуатацію власного чи орендованого нерухомого майна 36.00 Забір, очищення та постачання води 52.24 Транспортне оброблення вантажів 33.12 Ремонт і технічне обслуговування машин і устатковання промислового призначення 46.21 Оптова торгівля зерном, необробленим тютюном, насінням і кормами для тварин 46.61 Оптова торгівля сільськогосподарськими машинами й устаткованням 46.75 Оптова торгівля хімічними продуктами 52.29 Інша допоміжна діяльність у сфері транспорту 77.11 Надання в оренду автомобілів і легкових автотранспортних засобів 77.12 Надання в оренду вантажних автомобілів 77.31 Надання в оренду сільськогосподарських машин і устатковання Всі Види Діяльності Приховати","Місцезнаходження юридичної особи: Україна, **1, Кіровоградська обл., Олександрійський р-н, місто Олександрія, вул.Кременчуцька, будинок **А Телефон: +380684618067 +380993579644 Дата оновлення 11.09.2025 В цей день ми додатково зробили перевірку, та отримали такі дані. Повні та актуальні дані на сьогодні, доступні в бізнес пакетах або в добовій ліцензії. Пройдіть бізнес реєстрацію або придбайте добову ліцензію.",,,,,
22216219,A,"СІЛЬСЬКЕ ГОСПОДАРСТВО, ЛІСОВЕ ГОСПОДАРСТВО ТА РИБНЕ ГОСПОДАРСТВО",1,"Сільське господарство, мисливство та надання пов'язаних із ними послуг",1.1,ВИРОЩУВАННЯ ОДНОРІЧНИХ І ДВОРІЧНИХ КУЛЬТУР,1.11,"Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",ФЕРМЕРСЬКЕ ГОСПОДАРСТВО ПРОЛІСОК,"ФГ ""ПРОЛІСОК""",Зареєстровано,Зареєстровано,22216219,13.01.1993 (32 роки 8 місяців),"ВЕРХЛОМЧУК РАЇСА ГРИГОРІВНА 10.04.2015, керівник ВЕРХЛОМЧУК РАЇСА ГРИГОРІВНА 10.04.2015, підписант (Відомості відсутні)","1 000,00 грн.",ФЕРМЕРСЬКЕ ГОСПОДАРСТВО,"Основний: 01.11 Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур Всього за цим КВЕД: 75 088 За цим видом діяльності в Україні діючих: 59 625 – юридичних осіб 15 463 – ФОП","Місцезнаходження юридичної особи: Україна, **0, Кіровоградська обл., місто Олександрія, селище міського типу Олександрійське, ВУЛИЦЯ КОВТУНА, будинок ** Телефон: +30502254638 Дата оновлення 19.05.2025 В цей день ми додатково зробили перевірку, та отримали такі дані. Повні та актуальні дані на сьогодні, доступні в бізнес пакетах або в добовій ліцензії. Пройдіть бізнес реєстрацію або придбайте добову ліцензію.",,,,,
22216226,A,"СІЛЬСЬКЕ ГОСПОДАРСТВО, ЛІСОВЕ ГОСПОДАРСТВО ТА РИБНЕ ГОСПОДАРСТВО",1,"Сільське господарство, мисливство та надання пов'язаних із ними послуг",1.1,ВИРОЩУВАННЯ ОДНОРІЧНИХ І ДВОРІЧНИХ КУЛЬТУР,1.11,"Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",ФЕРМЕРСЬКЕ ГОСПОДАРСТВО НИВА-Г,"ФГ ""НИВА-Г""",Зареєстровано,Зареєстровано,22216226,17.03.1995 (30 років 6 місяців),"КРИВОШЕЯ ОЛЕНА ВІКТОРІВНА 06.12.2012, керівник КРИВОШЕЯ ОЛЕНА ВІКТОРІВНА 06.12.2012, підписант (Відомості відсутні)","1 000,00 грн.",ФЕРМЕРСЬКЕ ГОСПОДАРСТВО,"Основний: 01.11 Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур Всього за цим КВЕД: 75 088 За цим видом діяльності в Україні діючих: 59 625 – юридичних осіб 15 463 – ФОП Інші: 01.61 Допоміжна діяльність у рослинництві","Місцезнаходження юридичної особи: Україна, **3, Кіровоградська обл., Олександрійський р-н, село Головківка, ВУЛИЦЯ ЛЕНІНА, будинок **",,,,,
22216373,A,"СІЛЬСЬКЕ ГОСПОДАРСТВО, ЛІСОВЕ ГОСПОДАРСТВО ТА РИБНЕ ГОСПОДАРСТВО",1,"Сільське господарство, мисливство та надання пов'язаних із ними послуг",1.1,ВИРОЩУВАННЯ ОДНОРІЧНИХ І ДВОРІЧНИХ КУЛЬТУР,1.11,"Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",ФЕРМЕРСЬКЕ ГОСПОДАРСТВО БАЛІЦЬКОГО ВАСИЛЯ ІВАНОВИЧА,,Зареєстровано,Зареєстровано,22216373,08.04.1993 (32 роки 5 місяців),"ГОЛЮЧИК ЛЮБОВ ВАСИЛІВНА 12.01.2017, керівник ГОЛЮЧИК ЛЮБОВ ВАСИЛІВНА 12.01.2017, підписант (Відомості відсутні)","12 100,00 грн.",ФЕРМЕРСЬКЕ ГОСПОДАРСТВО,"Основний: 01.11 Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур Всього за цим КВЕД: 75 088 За цим видом діяльності в Україні діючих: 59 625 – юридичних осіб 15 463 – ФОП Інші: 46.21 Оптова торгівля зерном, необробленим тютюном, насінням і кормами для тварин","Місцезнаходження юридичної особи: Україна, **3, Кіровоградська обл., Новоархангельський р-н, село Вільшанка, ВУЛИЦЯ ШЕВЧЕНКА, будинок ** Телефон: +380964200931 Дата оновлення 25.08.2025 В цей день ми додатково зробили перевірку, та отримали такі дані. Повні та актуальні дані на сьогодні, доступні в бізнес пакетах або в добовій ліцензії. Пройдіть бізнес реєстрацію або придбайте добову ліцензію.",,,,,
22216383,A,"СІЛЬСЬКЕ ГОСПОДАРСТВО, ЛІСОВЕ ГОСПОДАРСТВО ТА РИБНЕ ГОСПОДАРСТВО",1,"Сільське господарство, мисливство та надання пов'язаних із ними послуг",1.1,ВИРОЩУВАННЯ ОДНОРІЧНИХ І ДВОРІЧНИХ КУЛЬТУР,1.11,"Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",ФЕРМЕРСЬКЕ ГОСПОДАРСТВО ДЯЧЕНКА ІГОРЯ МИКОЛАЙОВИЧА,,Зареєстровано,Зареєстровано,22216383,10.07.1992 (33 роки 2 місяці),ДЯЧЕНКО ІГОР МИКОЛАЙОВИЧ керівник ДЯЧЕНКО ІГОР МИКОЛАЙОВИЧ підписант (Відомості відсутні),"50 000,00 грн.",ФЕРМЕРСЬКЕ ГОСПОДАРСТВО,"Основний: 01.11 Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур Всього за цим КВЕД: 75 088 За цим видом діяльності в Україні діючих: 59 625 – юридичних осіб 15 463 – ФОП Інші: 01.13 Вирощування овочів і баштанних культур, коренеплодів і бульбоплодів 46.21 Оптова торгівля зерном, необробленим тютюном, насінням і кормами для тварин 47.89 Роздрібна торгівля з лотків і на ринках іншими товарами","Місцезнаходження юридичної особи: Україна, **2, Кіровоградська обл., Новоархангельський р-н, село Скалева Телефон: +30973858643 Дата оновлення 25.09.2025 В цей день ми додатково зробили перевірку, та отримали такі дані. Повні та актуальні дані на сьогодні, доступні в бізнес пакетах або в добовій ліцензії. Пройдіть бізнес реєстрацію або придбайте добову ліцензію.",,,,,
